vote_2020,gender,race_ethnicity,household_income,education,age,vote_trump
Donald Trump,male,white,"less than 25,000",highschool or less,25,1
Donald Trump,female,white,"50,000 to 99,999",associate degree,28,1
Joe Biden,female,"other race, nec","less than 25,000",highschool or less,18,0
Joe Biden,female,black/african american/negro,"25,000 to 49,999",associate degree,28,0
Joe Biden,male,black/african american/negro,"150,000 or more",masters or above,57,0
Joe Biden,male,black/african american/negro,"25,000 to 49,999",associate degree,65,0
Donald Trump,female,white,"50,000 to 99,999",associate degree,59,1
Joe Biden,female,white,"50,000 to 99,999",associate degree,20,0
Joe Biden,male,white,"100,000 to 149,999",masters or above,29,0
Joe Biden,female,white,"50,000 to 99,999",associate degree,63,0
Joe Biden,male,american indian or alaska native,"less than 25,000",highschool or less,28,0
Joe Biden,male,white,"50,000 to 99,999",masters or above,73,0
Donald Trump,male,white,"less than 25,000",highschool or less,20,1
Donald Trump,male,white,"25,000 to 49,999",associate degree,25,1
Donald Trump,male,white,"25,000 to 49,999",highschool or less,47,1
Joe Biden,male,"other race, nec","100,000 to 149,999",highschool or less,18,0
Joe Biden,female,black/african american/negro,"100,000 to 149,999",associate degree,23,0
Joe Biden,male,white,"50,000 to 99,999",bachelors degree,44,0
Donald Trump,female,white,"25,000 to 49,999",associate degree,54,1
Joe Biden,male,white,"50,000 to 99,999",associate degree,36,0
Joe Biden,male,white,"50,000 to 99,999",bachelors degree,44,0
Joe Biden,female,white,"50,000 to 99,999",associate degree,19,0
Joe Biden,female,white,"25,000 to 49,999",bachelors degree,26,0
Donald Trump,male,white,"less than 25,000",associate degree,34,1
Donald Trump,male,white,"less than 25,000",associate degree,69,1
Joe Biden,female,black/african american/negro,"less than 25,000",bachelors degree,25,0
Joe Biden,female,white,"less than 25,000",highschool or less,70,0
Joe Biden,female,white,"150,000 or more",associate degree,19,0
Joe Biden,female,black/african american/negro,"less than 25,000",highschool or less,36,0
Joe Biden,male,white,"less than 25,000",associate degree,41,0
Donald Trump,male,white,"50,000 to 99,999",highschool or less,65,1
Joe Biden,female,black/african american/negro,"25,000 to 49,999",masters or above,34,0
Joe Biden,male,black/african american/negro,"less than 25,000",highschool or less,48,0
Donald Trump,male,white,"50,000 to 99,999",highschool or less,66,1
Joe Biden,male,white,"150,000 or more",masters or above,42,0
Donald Trump,male,white,"less than 25,000",highschool or less,59,1
Donald Trump,female,black/african american/negro,"less than 25,000",highschool or less,32,1
Donald Trump,male,black/african american/negro,"50,000 to 99,999",bachelors degree,52,1
Donald Trump,male,white,"25,000 to 49,999",highschool or less,30,1
Joe Biden,female,white,"100,000 to 149,999",associate degree,40,0
Joe Biden,female,white,"50,000 to 99,999",associate degree,52,0
Joe Biden,male,white,"50,000 to 99,999",bachelors degree,40,0
Donald Trump,male,white,"150,000 or more",masters or above,40,1
Donald Trump,male,white,"100,000 to 149,999",bachelors degree,40,1
Joe Biden,female,white,"150,000 or more",bachelors degree,74,0
Joe Biden,male,black/african american/negro,"less than 25,000",highschool or less,49,0
Donald Trump,male,white,"50,000 to 99,999",bachelors degree,45,1
Joe Biden,male,white,"150,000 or more",masters or above,41,0
Donald Trump,female,white,"100,000 to 149,999",bachelors degree,34,1
Joe Biden,female,chinese,"50,000 to 99,999",masters or above,50,0
Donald Trump,female,white,"25,000 to 49,999",highschool or less,69,1
Joe Biden,male,white,"100,000 to 149,999",associate degree,39,0
Donald Trump,female,white,"25,000 to 49,999",highschool or less,45,1
Joe Biden,male,white,"50,000 to 99,999",associate degree,77,0
Joe Biden,male,black/african american/negro,"50,000 to 99,999",masters or above,49,0
Joe Biden,female,white,"100,000 to 149,999",associate degree,71,0
Joe Biden,male,white,"25,000 to 49,999",highschool or less,39,0
Donald Trump,female,white,"50,000 to 99,999",bachelors degree,22,1
Joe Biden,male,white,"less than 25,000",highschool or less,36,0
Donald Trump,male,white,"100,000 to 149,999",masters or above,35,1
